Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,-0.170647,1.289597,-0.1272319,358.7659,3.426093,16.17426,-0.2215234,1.199635,-0.1314121,57.37513,71.24496,171.0415,-0.07902186,1.243777,-0.1312918,77.11037,33.34392,308.9553,-0.7953069,1.077688,-0.2063821,71.10658,116.6849,178.354,0.4062226,1.525222,0.02378691,40.92974,150.8781,94.91841,-0.5686387,1.112111,-0.2545499,81.45949,110.4359,188.3466,0.251271,1.428785,-0.123048,44.22613,110.4552,54.93446,0.2999111,0.1444988,0.427302,313.3322,20.19998,174.3961,0.1727154,0.2049114,-0.1568441,358.8465,52.94702,184.6094,0.1249205,0.4752722,0.3546725,340.5472,15.52857,203.0351,0.3423014,0.4026897,0.1217576,56.23996,56.21016,201.0855,-0.07316714,0.6889601,0.05948969,307.7352,354.8293,212.6687,0.1177503,0.7302535,0.002853614,328.455,24.41426,202.0043
3,-0.1646106,1.31791,-0.1408389,359.0874,3.080154,12.85375,-0.2203783,1.230863,-0.1448069,60.10823,70.95911,169.4659,-0.07568035,1.267141,-0.1460747,78.7594,22.52291,298.0546,-0.7867582,1.088098,-0.128868,69.54526,89.61501,141.1084,0.4092456,1.50344,0.0456347,41.31757,147.7428,101.8287,-0.5835229,1.135709,-0.2352267,76.06046,84.36895,147.5253,0.2632782,1.435585,-0.1245411,47.56633,111.2884,64.57588,0.2812768,0.1402371,0.4208316,312.4891,16.11095,176.4986,0.1727334,0.2026469,-0.1570086,358.8314,52.89314,184.6419,0.1063571,0.4583484,0.3045727,334.299,13.1893,202.1592,0.326999,0.4266911,0.1103878,51.65584,53.41653,198.7764,-0.08785568,0.7062631,0.03465819,312.4741,0.261084,207.7278,0.103084,0.7504179,-0.01969823,327.3087,23.19387,201.8938
4,-0.1592635,1.364292,-0.1612854,0.312465,1.832285,9.192613,-0.2204337,1.281116,-0.1672274,63.39547,72.02105,170.1721,-0.07369985,1.308022,-0.1678599,81.12892,349.5266,265.5444,-0.7521307,1.107034,-0.06354792,59.62684,93.14262,131.5324,0.414742,1.46324,0.06185326,44.00484,150.3787,115.4728,-0.5936443,1.172383,-0.2232195,67.74047,90.42232,137.4247,0.2810078,1.438157,-0.1288208,54.1181,116.4831,79.47355,0.2107856,0.1556829,0.4222097,315.0237,355.4398,201.5839,0.1497574,0.2029066,-0.1827422,351.6191,41.49036,181.9171,0.06395743,0.4589281,0.2439072,324.7221,17.72111,192.9752,0.2828403,0.449513,0.07604108,48.68781,42.58837,191.6685,-0.1077676,0.7379695,-0.01041674,314.1525,13.51905,195.0234,0.08391277,0.7884221,-0.05597347,330.2164,20.76507,199.6201
5,-0.1553855,1.405457,-0.1780485,2.22659,359.81,6.004537,-0.2199968,1.325175,-0.1890314,65.19715,76.32994,175.65,-0.07230744,1.345959,-0.1857092,80.24944,302.9861,219.7278,-0.7050974,1.125962,-0.02915556,56.14027,107.072,132.173,0.4131489,1.415115,0.06431444,52.8007,154.6202,129.062,-0.5931539,1.200307,-0.2210539,63.14246,101.1063,134.6235,0.2963411,1.429027,-0.1382514,63.12343,126.711,97.5489,0.1625687,0.1649914,0.3706653,311.6566,352.0915,215.662,0.1278879,0.2018211,-0.226717,342.0738,27.73109,180.2989,0.03076692,0.4683307,0.1811359,322.7484,32.58634,181.3497,0.238086,0.4633702,0.02812212,46.45379,31.03968,185.5641,-0.1238006,0.7683116,-0.0600168,316.5959,24.75909,185.4458,0.069251,0.8209198,-0.09642664,334.4401,18.17663,197.0509
6,-0.1555065,1.435308,-0.1942681,4.306358,357.6083,4.872343,-0.2209934,1.35667,-0.2108509,64.3919,81.68956,181.5406,-0.07314455,1.374893,-0.2028654,78.63763,278.6931,196.0215,-0.6581668,1.117581,-0.01107009,51.45741,115.0174,129.6827,0.4126807,1.353445,0.05678875,60.91991,168.035,146.8819,-0.5832524,1.202125,-0.2163107,57.40422,107.188,132.059,0.3096897,1.402962,-0.1476896,70.07361,153.3605,128.3349,0.127268,0.1568644,0.2512608,312.9933,350.1227,220.4914,0.1274253,0.1942355,-0.2497876,337.8509,17.98974,180.5815,0.004540481,0.5005926,0.141276,337.602,17.40563,192.7623,0.2024516,0.4777873,-0.005935289,41.8522,22.52769,183.6263,-0.141935,0.7923715,-0.1145448,318.3485,1.48177,199.6992,0.05388637,0.8404346,-0.1411186,335.1861,14.29143,195.4729
7,-0.1540648,1.455976,-0.2115974,7.297667,355.3431,4.132337,-0.2202486,1.379944,-0.235023,62.73064,88.73288,188.966,-0.0723216,1.394663,-0.2225291,75.34137,257.981,175.6695,-0.6201206,1.101239,-0.007201031,47.24068,118.471,125.7739,0.4050796,1.281944,0.03678453,67.17551,192.3874,171.823,-0.5627109,1.194614,-0.2142491,52.34341,108.7775,130.7232,0.3149787,1.361256,-0.164367,69.77327,191.7122,168.3274,0.0900939,0.1715495,0.07391573,324.2944,344.2493,216.7089,0.134768,0.1874609,-0.267587,334.181,6.459511,182.1914,-0.02413202,0.5340073,0.1036574,0.3201585,13.61123,198.0351,0.1621426,0.4880486,-0.03436564,37.84439,12.70166,183.6939,-0.1608274,0.8122445,-0.1719014,317.3355,352.8596,204.1793,0.03787873,0.8523714,-0.1882708,334.9063,8.517501,193.9725
8,-0.151217,1.465356,-0.2327181,9.823054,353.3132,3.092763,-0.2185899,1.392457,-0.2609733,61.13112,92.91182,193.0186,-0.0705372,1.402524,-0.2456698,71.23986,249.6404,167.5419,-0.579522,1.078918,-0.008008525,43.10899,120.1642,120.7289,0.3939173,1.197896,0.003301129,69.08538,214.3795,192.6547,-0.5348703,1.180261,-0.2144532,47.29263,109.1158,129.6274,0.3089458,1.305179,-0.1868055,62.41822,213.5874,188.4407,0.04004668,0.2202799,-0.1253725,340.3773,346.9229,205.3349,0.1397156,0.1811341,-0.2808293,330.537,358.9363,184.0719,-0.0598826,0.5404907,0.05569953,24.8902,15.18681,202.1747,0.1253406,0.4923266,-0.06072234,34.96909,5.607405,185.3875,-0.1772956,0.8221778,-0.2251933,318.5375,347.5212,205.0068,0.02300156,0.8572669,-0.2286646,334.758,2.38448,193.2849
9,-0.1478965,1.463455,-0.2514833,11.39225,351.4547,1.68107,-0.2166026,1.393531,-0.2831151,59.69938,95.90996,195.7157,-0.06847788,1.399047,-0.2662688,67.0881,246.1081,163.6341,-0.5295264,1.060867,0.0002631843,39.63773,121.2258,112.2821,0.3846155,1.109269,-0.0521964,65.31243,224.8374,197.8405,-0.5022473,1.163362,-0.2086249,42.63981,109.1763,126.4937,0.2941407,1.244295,-0.220876,53.77268,223.8697,192.7441,-0.0228451,0.2887658,-0.309701,359.2241,351.5385,197.6134,0.1399066,0.1732901,-0.2998398,326.1274,356.761,184.7397,-0.10169,0.5144429,-0.01278156,47.54308,21.72174,208.7134,0.08934671,0.4863217,-0.08782694,33.99664,0.9815562,188.1667,-0.1903533,0.8201184,-0.2787428,322.684,344.6479,202.0801,0.009901084,0.8527331,-0.2647177,335.0969,355.4966,192.9765
10,-0.149128,1.44927,-0.2653334,12.30418,349.9668,0.9255897,-0.2180696,1.381149,-0.2999447,58.73527,100.3622,199.9335,-0.06995115,1.384873,-0.2825607,64.33049,241.7329,157.6676,-0.4565541,1.084024,0.02316797,36.25665,115.7269,99.19434,0.3736562,1.031243,-0.1298084,56.54426,224.5732,189.2535,-0.480043,1.149594,-0.2005113,37.53489,108.9381,110.6683,0.2748519,1.191469,-0.2692206,45.93369,229.6867,190.4237,-0.09943094,0.3681856,-0.4733168,19.81992,352.0181,184.4439,0.1386702,0.1644673,-0.3246994,320.9734,355.7006,185.2574,-0.1619506,0.4617833,-0.1091211,71.82484,29.76831,218.0773,0.05962918,0.4715959,-0.1127582,34.92389,358.0993,190.8755,-0.1988476,0.8081825,-0.3342444,329.403,343.1914,194.0112,-0.0009603202,0.8376349,-0.2977007,335.144,348.7498,193.3195
