Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,-0.01537361,1.347005,-0.1648057,0.989632,326.3293,352.441,-0.09175882,1.276813,-0.1656997,71.43469,35.79953,124.9576,0.05741122,1.27629,-0.1674816,69.89073,324.9989,251.633,-0.3847608,1.2923,0.07184038,12.3932,76.1516,24.81919,0.1368619,1.261382,0.1473383,20.74623,247.7665,326.8476,-0.3749999,1.086443,-0.03956635,7.952881,70.09143,27.47178,0.2271481,1.077845,0.03317602,13.36449,249.0937,323.6428,-0.2735745,0.1269212,0.2788536,286.6608,11.17742,175.0405,0.2959829,0.0840401,-0.04534776,287.6299,51.2223,182.7491,-0.1709356,0.4834562,0.3663519,15.14248,5.226325,165.6864,0.3150374,0.4166899,0.1403283,22.27466,48.97189,199.5378,-0.1084339,0.7544449,0.05862977,313.9182,14.85228,160.3771,0.09096622,0.7440545,0.01997932,328.3076,24.38517,201.8654
3,-0.02045898,1.344887,-0.1514689,0.5612567,326.1114,352.2204,-0.09710369,1.275017,-0.1526998,71.79559,36.26154,125.5218,0.05206297,1.27384,-0.1544532,69.96404,323.3205,249.7251,-0.3922802,1.281263,0.08919055,12.40099,76.62872,27.66197,0.1244015,1.252282,0.1627599,20.5898,246.0944,325.0302,-0.3799622,1.081009,-0.0317639,8.260967,70.34918,30.25911,0.2184287,1.072875,0.04510564,13.24846,247.6562,321.891,-0.2728819,0.1322552,0.2839208,289.5885,4.444721,181.6017,0.2940465,0.08165065,-0.04538549,287.6408,51.17145,182.8457,-0.1707263,0.485938,0.3828174,16.92549,5.126463,165.8929,0.3091543,0.412196,0.1443671,22.26065,49.25279,200.5501,-0.1153894,0.7516435,0.0691735,312.7756,15.61163,160.6101,0.08388227,0.7408679,0.02996997,329.0561,24.33024,202.4235
4,-0.02287616,1.341015,-0.1430198,0.1429037,325.8521,352.0734,-0.09983655,1.271591,-0.1443828,71.96294,35.6747,125.1483,0.0493234,1.269528,-0.1458669,69.6454,321.7517,248.2291,-0.3987372,1.272378,0.09757203,12.79237,76.2829,29.44782,0.115027,1.246221,0.1729862,20.63482,244.9067,324.5301,-0.3847327,1.075995,-0.0293967,8.844762,69.86468,31.96659,0.211862,1.068041,0.05574597,13.30426,246.5314,321.4107,-0.274101,0.1416143,0.2896935,294.5109,357.9225,188.0564,0.2924916,0.07959162,-0.04679649,287.7658,51.40084,182.614,-0.1699857,0.4913515,0.3999286,18.75015,4.897274,165.6736,0.3071932,0.408469,0.145864,22.40454,49.79974,201.1559,-0.1204701,0.7479382,0.07783277,311.1361,16.914,160.1141,0.07845022,0.7366313,0.03702722,329.3028,24.82856,202.9876
5,-0.02512347,1.334667,-0.1344144,359.5972,325.5658,351.9519,-0.1026768,1.266039,-0.1355738,72.06806,34.01535,123.6923,0.04645471,1.262414,-0.1369129,68.96391,320.2888,246.8223,-0.4070565,1.26212,0.1037221,13.68419,75.38724,31.13814,0.1047648,1.239239,0.1839711,20.69855,243.7858,324.3929,-0.3917121,1.069731,-0.02907217,9.919226,68.83174,33.5209,0.2040626,1.061406,0.0682731,13.35504,245.4376,321.2858,-0.2767442,0.1562443,0.2984106,300.2487,353.5431,192.8655,0.2920769,0.07829202,-0.04919691,287.7601,51.15306,183.1214,-0.1691586,0.5001474,0.4227643,21.14054,4.835862,165.3017,0.3074734,0.4049457,0.1471568,22.57671,50.88669,201.9593,-0.12644,0.7427257,0.0890502,308.8201,19.05177,158.9008,0.07172101,0.7302852,0.04500824,329.1045,25.83543,203.8575
6,-0.0302456,1.325509,-0.1242795,358.9872,325.2254,351.9361,-0.1084773,1.257805,-0.1243627,72.01585,32.13271,121.6129,0.04058714,1.252386,-0.1267253,67.96873,319.3253,245.4303,-0.4170005,1.249925,0.1113034,15.04377,74.54517,32.49692,0.09307543,1.229779,0.1962753,20.56026,243.0906,324.3044,-0.4021025,1.061115,-0.02658195,11.4236,67.86583,34.69129,0.193467,1.052079,0.08132042,13.22239,244.7458,321.1937,-0.2821763,0.175803,0.3095891,306.7814,351.4223,196.4252,0.2922516,0.07837819,-0.05294142,287.7558,50.39077,184.2468,-0.1691316,0.5110834,0.4514194,24.32747,5.249637,164.8546,0.3103424,0.4021972,0.1478282,22.81182,52.64422,202.9302,-0.1341722,0.7357453,0.1045201,306.1223,22.24822,156.7543,0.06263664,0.721471,0.05527846,328.3661,27.56759,205.2367
7,-0.04133628,1.314822,-0.1112076,358.4061,324.7667,352.1206,-0.119974,1.247679,-0.1089583,71.84758,31.70777,120.205,0.02895706,1.241169,-0.1146424,67.00879,319.2499,244.0148,-0.4282048,1.235572,0.1227517,17.0135,74.24059,33.30637,0.08028717,1.217974,0.2094828,20.24764,243.1558,323.986,-0.4175356,1.049508,-0.01919905,13.47161,67.45445,35.24515,0.1799017,1.040854,0.09296671,12.92208,244.8442,320.8757,-0.2911636,0.1941375,0.3246229,312.0686,352.85,197.4011,0.2931164,0.07897025,-0.05738087,287.8504,49.84215,185.0304,-0.1713302,0.5199574,0.4820685,27.50368,6.296085,164.5039,0.315106,0.4010812,0.1457335,22.70967,54.89133,203.7321,-0.1438116,0.7272497,0.1238691,303.8162,26.13324,153.8993,0.05096519,0.710914,0.06767853,327.1663,30.07968,207.1927
8,-0.06032015,1.304833,-0.09322509,358.1264,324.1809,353.0063,-0.1387348,1.237785,-0.08699743,71.79572,33.60867,119.9263,0.009770799,1.231026,-0.09946981,66.58145,321.1689,243.2466,-0.4416683,1.223345,0.1397969,19.76879,74.20959,32.90267,0.06593305,1.205191,0.2234127,20.32032,243.9426,322.9798,-0.4401629,1.037929,-0.003388807,16.15927,67.36128,34.51171,0.1647036,1.030602,0.102442,13.02658,245.7583,319.908,-0.304827,0.2054052,0.3474084,314.0364,356.3928,195.5432,0.2951671,0.08015057,-0.06396028,287.9244,48.59709,186.7097,-0.1772252,0.5241752,0.512972,29.46164,7.10221,163.8308,0.3184679,0.4021933,0.1391164,21.79121,57.50507,204.5967,-0.1558353,0.7185346,0.1471837,302.5134,30.32889,150.6698,0.03583282,0.6999947,0.08174793,325.7661,33.16613,209.6696
9,-0.08620082,1.297982,-0.06984007,358.4562,323.7605,354.576,-0.1635278,1.230753,-0.05824579,72.12042,37.64781,120.3928,-0.01623879,1.224196,-0.08100785,67.05923,325.6554,243.6865,-0.4599512,1.219207,0.1675311,22.50599,73.82175,31.236,0.04976515,1.194019,0.2367762,21.31906,245.1399,321.1779,-0.468904,1.032143,0.02678142,18.68554,66.9869,32.5504,0.1494442,1.024617,0.1093486,14.08396,247.1963,318.2101,-0.3235052,0.2052639,0.380574,312.3303,0.2085907,190.4887,0.297574,0.08149385,-0.07183646,287.9599,47.66018,188.1967,-0.1868786,0.5226744,0.5414824,28.92646,6.534506,162.0581,0.3174003,0.4058147,0.1279571,19.82679,60.04667,205.3329,-0.1692327,0.7111363,0.172423,302.5369,34.17861,147.6521,0.01805454,0.6908004,0.09579293,324.369,36.59068,212.2437
10,-0.1200873,1.292949,-0.03850103,359.3246,323.4204,356.71,-0.1952077,1.225396,-0.02053063,72.89959,43.42996,121.1393,-0.05062106,1.21927,-0.05675686,68.53178,333.1574,245.7597,-0.4904456,1.222866,0.2170912,23.64182,72.59032,29.39594,0.02717227,1.182725,0.2498112,23.69282,246.0309,318.4439,-0.5033509,1.032975,0.08049579,19.60986,65.85303,30.63118,0.1316581,1.022056,0.1151303,16.55688,248.4688,315.6899,-0.3492779,0.1940221,0.4284468,308.1757,5.715688,181.0603,0.3029855,0.08498422,-0.08138535,287.7284,45.42623,190.9182,-0.2026817,0.5161944,0.5699476,25.49499,4.954871,159.447,0.3108774,0.4117838,0.1151707,16.76954,62.25891,206.5158,-0.1846876,0.7031103,0.2001195,303.4694,37.4336,144.8003,-0.003064968,0.6824898,0.1109554,323.0039,39.74393,215.1548
