Frame,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,0.25267,1.32131,-0.1589688,354.1311,326.3371,340.8145,0.1746054,1.282263,-0.2102054,52.2279,349.0886,80.77297,0.2808932,1.236467,-0.1160733,38.88988,296.9948,281.3112,0.01290026,1.089394,0.1590624,28.10662,227.0295,190.75,-0.08968855,1.369736,0.1952436,60.59247,59.57751,149.3202,-0.06888334,1.231006,-0.008689878,51.5034,223.4244,193.8082,0.125292,1.295176,0.1396138,67.1956,247.5025,325.2088,-0.2521008,0.1741355,0.09779436,313.4973,337.2516,190.6893,0.08279082,0.1596671,0.04019783,351.0677,337.9758,211.5799,-0.2883798,0.5437647,0.1836195,13.98023,346.1144,182.1984,-0.1319721,0.4312411,0.200257,40.61606,336.2933,200.2925,-0.1943,0.8874255,-0.02870211,325.9539,336.9726,179.5125,-0.04920679,0.8247001,0.09926555,341.6472,322.2041,179.5151
3,0.2537881,1.319166,-0.1551122,353.4252,326.9378,339.2948,0.1744263,1.281918,-0.2061048,53.09739,346.4264,77.18388,0.2813215,1.233387,-0.1140542,38.97921,296.8098,278.3582,0.01835091,1.090555,0.1494224,24.41433,224.4017,177.4656,-0.07896186,1.369752,0.197935,61.33891,59.99834,151.694,-0.07934745,1.231933,-0.009797283,52.81157,215.5904,183.2339,0.1332605,1.285026,0.1464213,63.81354,245.7288,325.0482,-0.2577012,0.1753902,0.09495059,313.9018,338.1472,189.7324,0.08528288,0.158016,0.03755161,349.8025,336.2766,213.2243,-0.2951495,0.5443055,0.1833075,14.42201,345.6861,182.1711,-0.1282752,0.4278469,0.2021078,40.89988,337.5091,200.6258,-0.1966203,0.8880948,-0.02677587,326.0063,337.2979,178.6439,-0.05070653,0.8216439,0.09834684,341.7905,323.674,179.8579
4,0.2504998,1.316499,-0.1477048,353.2849,328.2798,336.9232,0.168247,1.282879,-0.1966399,55.50969,340.6832,68.31879,0.2780356,1.228217,-0.1117066,40.46686,296.9312,268.6656,0.03924574,1.133265,0.1500356,23.06027,218.5232,156.5039,-0.0436068,1.35256,0.2235046,64.96467,68.08752,160.6472,-0.100155,1.240277,-0.004882222,58.9561,190.5322,152.3455,0.1583438,1.249739,0.1642216,55.99546,242.7569,321.7083,-0.2748814,0.1751962,0.08047922,314.774,340.9956,187.02,0.09232357,0.1502038,0.02391556,348.529,333.5727,215.317,-0.3096628,0.541015,0.1818431,16.28278,345.4315,181.2276,-0.1174158,0.4155568,0.200244,41.89176,339.7524,200.8489,-0.201253,0.8852941,-0.0224934,326.317,339.3138,175.9577,-0.0514145,0.8105017,0.09290487,342.3075,327.3529,180.3223
5,0.2480103,1.31702,-0.1455406,353.4512,328.7599,336.8043,0.1653169,1.283782,-0.1937769,56.23699,339.9781,66.71552,0.276116,1.228196,-0.1107773,41.29184,297.0472,265.6697,0.03807011,1.149443,0.1529898,27.35647,208.7187,150.61,-0.03277827,1.342199,0.2367593,67.98546,80.71549,173.5386,-0.109524,1.238873,-0.005445536,58.85543,176.0856,137.5685,0.1661792,1.238491,0.1694452,52.88807,239.4294,317.2027,-0.2750882,0.173439,0.07643142,314.7497,341.1125,186.6557,0.09367421,0.1470306,0.01976049,346.5892,332.0339,215.4433,-0.3110114,0.5381105,0.1814652,16.8891,345.2412,181.1996,-0.1152852,0.4116101,0.1981652,42.19048,339.6972,200.5789,-0.2014353,0.8829084,-0.02136897,326.4919,339.6382,175.5539,-0.05022261,0.8068628,0.09138753,342.4464,327.9637,180.2055
6,0.246724,1.317388,-0.1446579,353.5266,328.9378,336.8142,0.1639204,1.284169,-0.1926704,56.5176,339.9461,66.37641,0.2751117,1.228426,-0.110303,41.65781,297.1042,264.5879,0.03685385,1.155648,0.1536,28.38387,202.9216,145.2398,-0.02881659,1.340299,0.2392641,68.80662,85.21832,177.5758,-0.1137103,1.237446,-0.006159496,57.52567,169.1378,130.5638,0.1688128,1.234504,0.1712885,51.67038,238.7946,316.7387,-0.2733871,0.1723733,0.07551172,314.7682,340.7923,186.8333,0.09489681,0.1460482,0.01844018,345.9097,331.5478,215.465,-0.3110617,0.5366299,0.1813678,17.08981,345.0695,181.3723,-0.1141762,0.4100633,0.1975463,42.33096,339.7087,200.5647,-0.2014151,0.8817142,-0.02094046,326.5636,339.5719,175.5559,-0.04966862,0.8054566,0.09095245,342.5109,328.1298,180.2071
7,0.2447259,1.318026,-0.1435272,353.6152,329.1119,336.8592,0.1618267,1.284718,-0.1913007,56.88469,340.1387,66.20913,0.27353,1.228956,-0.1096423,42.17634,297.1919,263.2574,0.03309356,1.163196,0.1552821,27.272,193.4841,139.3703,-0.02402254,1.339524,0.2403647,69.58576,90.70319,181.3504,-0.1194372,1.234855,-0.007453525,54.7873,160.2257,122.0378,0.1717323,1.229693,0.1733745,50.2253,238.5128,317.1282,-0.2698659,0.1706596,0.07469847,314.8251,340.2939,187.0742,0.09725542,0.1450198,0.01697329,345.2316,331.2161,215.3515,-0.3107177,0.5343821,0.1812109,17.33064,344.7839,181.7234,-0.1123639,0.4080403,0.1969026,42.53253,339.7808,200.6498,-0.2013341,0.8799251,-0.02045585,326.6645,339.3483,175.6819,-0.04888998,0.8036438,0.09046844,342.6087,328.288,180.2695
8,0.2423723,1.318819,-0.1424973,353.6871,329.2153,337.008,0.1594692,1.285296,-0.190085,57.22364,340.4638,66.25291,0.2716469,1.2297,-0.108965,42.70916,297.2831,262.0742,0.02581537,1.169241,0.1586004,24.79577,184.718,132.2759,-0.0202876,1.339604,0.239391,70.50052,99.1591,189.1597,-0.1252365,1.231883,-0.009158187,51.37518,152.3225,115.3633,0.1737138,1.225256,0.1749042,48.30916,237.2881,317.2184,-0.2654866,0.1687466,0.07417548,314.9832,339.5121,187.5762,0.1001056,0.1443045,0.015823,344.961,331.2609,215.102,-0.3101216,0.5319476,0.1809489,17.54496,344.4527,182.1623,-0.110425,0.4061404,0.1964147,42.7379,339.9032,200.8335,-0.2013239,0.8780209,-0.02012446,326.7723,339.0088,175.9148,-0.04823272,0.8019698,0.09006428,342.7157,328.3737,180.3886
9,0.2390225,1.319944,-0.1412535,353.731,329.2128,337.4247,0.1563042,1.285989,-0.1886418,57.59089,340.7225,66.29092,0.2689972,1.230784,-0.1079708,43.39103,297.3772,260.7209,0.01487289,1.176059,0.1621348,18.74925,175.1573,126.5312,-0.01670893,1.3401,0.2363596,71.00135,112.121,203.3022,-0.1327735,1.228242,-0.01210936,46.45926,144.1883,108.8656,0.1752283,1.219968,0.1763673,45.52442,234.833,317.0547,-0.2593555,0.1661386,0.07358827,315.1199,338.4915,188.1202,0.1040027,0.1436809,0.01468415,344.0354,331.1069,214.851,-0.3092461,0.528662,0.1803386,17.79762,343.9691,182.7774,-0.1080468,0.4038551,0.1958992,42.99701,340.092,201.1573,-0.2014235,0.8754976,-0.01994516,326.925,338.4595,176.3014,-0.0476289,0.7999812,0.08963007,342.8597,328.3878,180.5874
10,0.2367837,1.320669,-0.1405019,353.7289,329.1235,337.7539,0.1542595,1.286379,-0.1878069,57.78555,340.8046,66.3087,0.2672187,1.231505,-0.1072825,43.81461,297.4219,259.9584,0.00905554,1.180466,0.1627733,15.76513,170.1232,121.4311,-0.0149065,1.34055,0.2341515,70.84268,119.9635,213.0818,-0.1374185,1.226014,-0.01429821,43.2587,140.3467,105.4838,0.1756836,1.216894,0.1770959,43.65538,233.0387,316.8552,-0.2554013,0.1644356,0.07318382,315.1172,337.8142,188.4967,0.1065287,0.1434196,0.01417359,343.1349,330.8452,214.7712,-0.3086746,0.5265221,0.1797817,17.94671,343.6684,183.1805,-0.1066557,0.4025008,0.195623,43.15207,340.2206,201.4044,-0.2015599,0.8738769,-0.01998108,327.0303,338.0683,176.5789,-0.04740132,0.7988132,0.0893935,342.9528,328.3426,180.7347
