Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
1,0,0,0,0,0,0,-0.2337743,1.287176,-0.02993513,358.6802,35.23732,17.23277,-0.2781163,1.196642,-0.00722328,55.60408,95.16275,165.217,-0.1572769,1.242507,-0.08171744,78.2294,70.06313,313.7959,-0.8222615,1.078535,0.1969703,67.50668,149.2526,183.8754,0.3356645,1.531657,-0.2109395,41.02998,189.5641,97.43055,-0.6384162,1.111693,0.05560225,81.71547,116.6451,169.1978,0.1286468,1.428051,-0.2467174,55.73638,123.8153,38.22359,0.4578132,0.1447775,0.1976155,313.3015,51.48918,174.3956,0.0454448,0.2048788,-0.235257,358.8231,84.32127,184.6577,0.2736137,0.476946,0.2299021,340.8533,48.0171,202.7176,0.3360048,0.4000677,-0.0836967,56.76212,87.1024,200.9973,-0.04869797,0.6883516,0.07674509,308.3476,23.07514,214.7632,0.08625849,0.7306456,-0.06940624,327.6796,60.00249,199.3326
2,0,0,0,0,0,0,0.08500481,1.46386,-0.0237382,20.21975,354.2497,350.8292,-0.0008394346,1.41242,-0.03518777,79.43539,85.72313,170.8669,0.1445749,1.381835,-0.04839409,55.88213,278.0206,187.0084,-0.329551,1.06802,0.1407828,60.27443,164.0588,132.6238,0.3143751,0.9469324,0.2029363,62.04235,264.0874,312.4789,-0.3568582,1.258337,0.006927844,32.81241,165.4572,165.1495,0.3814816,1.096642,0.03574143,37.47074,208.5653,216.3631,-0.1837694,0.1543944,0.06646661,317.2079,312.2138,174.2391,0.06837632,0.135778,-0.1646727,308.4225,24.55471,192.2729,-0.2253672,0.5169092,0.1767409,17.58745,326.4857,176.0581,0.06977569,0.4231778,0.08611384,39.84289,17.33139,191.0905,-0.1289072,0.8527391,-0.04674929,324.6975,348.9854,172.8002,0.07111669,0.8222263,-0.02621558,344.2774,359.2722,180.0119
3,0.001961745,-0.008550885,0.001252207,0,0.5570963,0,0.09090399,1.453095,-0.02806731,20.58604,354.6121,350.6089,0.004582444,1.402608,-0.03837568,79.72884,83.66349,169.7554,0.1494848,1.370389,-0.05322174,55.58771,279.2565,189.588,-0.3384785,1.054494,0.131986,60.57444,164.778,137.357,0.3059571,0.941106,0.2153523,63.2351,262.6602,314.8515,-0.3496064,1.244939,-0.003993181,33.59762,162.7015,167.4118,0.3812287,1.089659,0.05062008,39.10722,203.6266,215.1869,-0.1889193,0.1541434,0.06328431,317.2514,316.1862,174.0181,0.06847966,0.134814,-0.1639029,308.3358,24.4409,192.1945,-0.2147027,0.5119156,0.1922888,19.27388,330.6833,173.8732,0.07324799,0.4156306,0.09419369,41.25819,18.44931,191.6701,-0.1319789,0.8458806,-0.03935383,324.4353,354.2311,171.8192,0.06818529,0.8110647,-0.03016677,342.529,1.895837,180.1307
4,0.003776045,-0.01992879,0.003513739,0,0.9596479,0,0.0974219,1.438835,-0.03175749,20.66804,354.8107,350.2454,0.01056119,1.389496,-0.04108062,79.99952,80.81683,168.7957,0.1548765,1.355291,-0.05715013,54.89137,280.3203,192.9093,-0.3535177,1.037448,0.1150243,60.17953,165.3906,143.9298,0.293453,0.9352309,0.2351755,64.45866,260.2059,317.1833,-0.3412211,1.227054,-0.02202349,34.7796,158.0059,170.1879,0.3787627,1.082203,0.07395529,41.31855,197.0138,213.3421,-0.1992145,0.1538507,0.05759502,317.3771,321.5858,173.7854,0.06869152,0.1340012,-0.1636787,308.2858,24.43038,192.1893,-0.200222,0.5034043,0.2096451,21.73498,336.0347,170.8161,0.07873345,0.4057068,0.1038466,43.12391,20.24688,192.5926,-0.1360971,0.8370555,-0.02826048,324.6484,1.050819,170.4972,0.06307331,0.7963231,-0.03411345,340.435,5.444402,180.3455
5,0.004589638,-0.02904874,0.005805634,0,1.015061,0,0.101693,1.427477,-0.03295952,20.4087,354.7533,349.895,0.01445633,1.378969,-0.04191932,80.13341,78.51219,168.5019,0.1583927,1.343309,-0.05822333,54.08938,280.6759,195.456,-0.3675376,1.02451,0.09645393,59.1181,165.2667,149.153,0.2821974,0.9320412,0.2536866,65.14338,257.6689,318.1958,-0.335005,1.212787,-0.03910771,35.79967,153.4147,172.2542,0.3748206,1.077737,0.09536994,43.06668,191.7297,211.6382,-0.2101697,0.1537941,0.05223581,317.6245,325.9465,173.7312,0.0686604,0.1337206,-0.1643924,308.32,24.54313,192.2657,-0.1888541,0.4950013,0.2208508,23.9215,340.1476,168.2986,0.08372515,0.3977458,0.1104863,44.62267,21.95886,193.4647,-0.1393563,0.8301992,-0.01836974,325.2776,6.337046,169.498,0.05804687,0.7846336,-0.0362029,338.9549,8.335531,180.5724
6,0.004178096,-0.03701892,0.008282622,0,0.5136226,0,0.1039005,1.417769,-0.03255086,19.38003,354.3226,349.6239,0.01648812,1.369703,-0.04190416,80.09468,76.08678,168.9064,0.1603298,1.333093,-0.05688506,52.96994,280.1564,197.6077,-0.3841687,1.015316,0.07213452,57.60429,163.4972,153.3411,0.2649278,0.9337279,0.2765244,64.37801,253.3429,317.3458,-0.3299968,1.200109,-0.06128379,37.44387,147.2362,173.4683,0.3664436,1.076473,0.120997,44.69208,187.3705,210.9955,-0.2197787,0.1530146,0.04654057,317.6839,329.3438,174.1016,0.06809989,0.1330525,-0.1640928,308.31,24.59062,192.222,-0.1795353,0.4859254,0.22781,25.99928,343.4945,166.3303,0.08724406,0.3908535,0.116383,45.80519,23.31464,194.1777,-0.1425404,0.8244879,-0.008919649,326.2894,10.60071,168.8914,0.05253741,0.7743758,-0.03712738,337.6996,10.82458,180.7269
7,0.003724587,-0.04468911,0.01069064,0,-0.003900865,0,0.1059578,1.408273,-0.03165244,18.36651,353.8802,349.3426,0.01837265,1.360652,-0.04145554,80.06392,73.7447,169.3516,0.162108,1.323103,-0.05507255,51.86592,279.535,199.6097,-0.3988021,1.006458,0.04536251,55.77758,161.0862,156.9594,0.2496395,0.9370918,0.2988962,64.0439,249.5976,316.6985,-0.3238668,1.187978,-0.08238289,38.90071,141.0945,174.6323,0.3578287,1.077126,0.1454168,46.50687,183.0029,209.7063,-0.2306552,0.152891,0.0415115,317.8197,332.5997,174.4046,0.06764723,0.1330159,-0.1649642,308.4028,24.6525,192.2687,-0.1708873,0.4767641,0.2334536,28.08477,346.5754,164.3708,0.09108233,0.3841186,0.121205,47.03305,24.81267,195.0151,-0.1453292,0.8189446,0.0004440807,327.3801,14.62866,168.3752,0.04689474,0.764496,-0.03760249,336.5872,13.22545,180.9237
8,0.002549138,-0.05143475,0.0124674,0,359.5002,0,0.1063818,1.40006,-0.03094555,17.23133,353.5051,349.2873,0.01879604,1.352599,-0.0412688,79.96407,71.64658,170.0622,0.1625335,1.314535,-0.05334572,50.8018,278.7731,200.9986,-0.4117092,0.9998454,0.01934062,54.18794,157.4577,158.9487,0.2269158,0.9441117,0.3194456,62.36367,245.9616,315.5623,-0.3177662,1.176515,-0.1025045,40.76764,134.2734,174.6943,0.343187,1.079418,0.1676441,48.22086,180.1763,209.8914,-0.2370365,0.1520863,0.03728656,317.407,335.5134,174.435,0.06619401,0.1333148,-0.1671779,308.6775,24.61822,192.2088,-0.1625278,0.4680606,0.2370775,29.9579,349.1109,163.0849,0.09337728,0.3778324,0.1243125,48.24681,25.98791,195.7115,-0.1478713,0.8140748,0.008837251,328.4161,17.86744,168.3187,0.04128207,0.755768,-0.03789153,335.7555,15.31658,181.0226
9,0.001268069,-0.05871896,0.01438088,0,358.9611,0,0.1066712,1.390951,-0.03024265,16.01822,353.0916,349.2038,0.01907539,1.343694,-0.04115155,79.87375,69.41405,170.8721,0.162785,1.305037,-0.05156205,49.64676,277.8878,202.4419,-0.4235631,0.9923651,-0.01219364,52.18988,152.9989,160.7836,0.2018382,0.953,0.3396516,60.66222,242.4978,314.7504,-0.3099875,1.164154,-0.1238747,42.57168,126.7152,174.7035,0.3260108,1.083019,0.1894955,50.22037,177.1396,209.8314,-0.2453787,0.1516212,0.03246593,317.0249,338.695,174.4103,0.06634067,0.1330122,-0.165302,308.504,24.75764,192.1371,-0.1540586,0.458291,0.2396423,32.04178,351.7553,161.6376,0.09757193,0.3725606,0.1298855,49.07838,27.45979,196.5113,-0.1504779,0.8086352,0.01765079,329.6058,21.31952,168.3092,0.034835,0.7462468,-0.03828713,334.3705,17.64393,181.218
10,-0.0002018084,-0.06568541,0.01530026,0,358.8006,0,0.1061455,1.382323,-0.03049302,15.21351,352.9394,349.4081,0.01866662,1.335169,-0.04175328,79.8578,67.59012,171.6344,0.1623464,1.296132,-0.0511007,48.7736,277.3219,203.0433,-0.4321064,0.986003,-0.03675395,51.11613,147.7988,161.1925,0.1709505,0.9609836,0.3515839,58.36111,239.2464,313.2576,-0.3028736,1.151963,-0.1399028,44.49239,119.0167,173.2551,0.303605,1.084604,0.2032889,51.93164,175.6934,211.1425,-0.2502719,0.1505607,0.02861352,316.4354,341.5147,174.3974,0.06657495,0.1333079,-0.1647161,308.4731,24.77201,192.1093,-0.1459305,0.4492097,0.241286,33.89867,354.0332,160.7169,0.1014244,0.3677259,0.1341623,49.93333,28.79444,197.2984,-0.1525434,0.803077,0.02502619,330.5286,24.1932,168.5137,0.0288887,0.7372793,-0.03912425,333.0862,19.71042,181.3604
11,-0.001614162,-0.07225522,0.01606996,0,358.6893,0,0.1055334,1.374097,-0.03052528,14.49848,352.816,349.6172,0.01817199,1.327046,-0.04209946,79.85997,65.91409,172.3623,0.1618118,1.28765,-0.05050784,47.96982,276.8037,203.5119,-0.4384351,0.979653,-0.06087723,50.0084,142.5042,161.235,0.1414501,0.9703785,0.3607898,56.2057,236.6779,312.3725,-0.295696,1.140464,-0.153877,46.05646,111.4362,171.5562,0.2817486,1.087082,0.2139323,53.77879,174.6354,212.5273,-0.255316,0.1497619,0.02518737,315.8997,344.1749,174.3594,0.06682517,0.1341385,-0.1652126,308.543,24.78995,192.1667,-0.1385272,0.4405039,0.2422986,35.66998,356.1102,159.8604,0.1054048,0.3630881,0.1374228,50.81824,30.23085,198.1847,-0.1542346,0.7977098,0.03208109,331.4116,26.84113,168.7522,0.02318282,0.7288189,-0.03960803,331.9496,21.64461,181.538
12,-0.002861749,-0.0777226,0.01605839,0,358.8873,0,0.1047763,1.367472,-0.03118185,14.52437,352.7028,349.9046,0.01757475,1.320551,-0.04317444,79.89824,64.68879,172.6205,0.1611853,1.280905,-0.05087854,47.60885,276.6078,202.916,-0.4403827,0.9738985,-0.07057214,50.25374,137.1212,159.6999,0.1148071,0.9719909,0.3577688,53.91367,234.8891,310.6167,-0.2909738,1.13049,-0.1602359,46.95331,105.1501,168.302,0.2623998,1.083576,0.2141176,54.34404,175.1823,215.1942,-0.2578213,0.1486716,0.02288892,315.2871,345.9887,174.3914,0.06760562,0.1344588,-0.1646628,308.4828,24.71048,192.1712,-0.1344156,0.4341717,0.2432715,36.91008,357.3486,159.5045,0.1080231,0.3597607,0.1404603,51.39153,31.09929,198.8112,-0.1553387,0.7928591,0.03605226,331.8027,28.34778,168.8823,0.01944625,0.7222003,-0.04023549,331,22.80768,181.6043
13,-0.004069086,-0.08299488,0.01600857,0,359.1006,0,0.1039411,1.361002,-0.03179803,14.58365,352.5945,350.1858,0.01689656,1.314213,-0.04419879,79.93878,63.49945,172.8289,0.1604732,1.274321,-0.05123267,47.27485,276.4377,202.2854,-0.4418768,0.9680629,-0.07980613,50.37806,131.6926,157.9332,0.09158815,0.9754623,0.3550225,51.97459,233.6889,309.2422,-0.2864729,1.120825,-0.1658127,47.52806,98.93282,164.9497,0.245073,1.08148,0.2133429,55.15718,175.8977,217.6102,-0.2604612,0.1476491,0.02075045,314.704,347.7118,174.4288,0.06837305,0.1348917,-0.1643546,308.4368,24.64168,192.2087,-0.130714,0.4280035,0.2440772,38.10371,358.5005,159.1707,0.1106436,0.3565616,0.1431681,51.94611,32.00852,199.473,-0.1563892,0.7880734,0.03981116,332.1714,29.75799,169.0065,0.01578481,0.7157733,-0.04075583,330.0964,23.90704,181.6842
